"","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm"
"2250","Primates","Cercopithecidae","Macaca","radiata","Macaca radiata",3,4999.99,-999,475,-999,1460,-999,-999,-999,-999,161.56,-999,0.88,-999,365,1.01,-999,360,367.52,-999,8.3,41,1785.78,33.5,-999,-999,-999,332.25,2000,-999,"91;208;543;1167;1297;1347;1544;1547;1577;1848;1979;2151;2344;2493;2626;2655;2660;2986",-999,1.1,-999,-999,679816.3,21.12,8.06,14.59,81.47,72.65,77.06,82,412.85,142,0.08,93.74,264.54,844.93,1589.58
"2251","Primates","Cercopithecidae","Macaca","siberu","Macaca siberu",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,3889.63,-0.91,-1.81,-1.36,99.29,98.58,98.94,51,51,51,0.0040008538120618,340,259,-999,-999
"2252","Primates","Cercopithecidae","Macaca","silenus","Macaca silenus",3,5995.25,-999,547.35,-999,1795.8,-999,-999,4,-999,172,3,0.88,0.86,510.39,1.01,-999,480,416.11,-999,1.01,25,1912.19,21,-999,2,2,362.93,-999,-999,"208;543;899;927;1297;1544;1547;1848;1979;2151;2344;2493;2626;2655;2660;2986",-999,0.92,-999,-999,56995.19,16.17,10.21,13.19,77.69,74.55,76.12,166,314.12,172,0.06,88.07,253.03,953.01,1571.86
"2253","Primates","Cercopithecidae","Macaca","sinica","Macaca sinica",3,4655.99,-999,480,-999,-999,-999,-999,2,-999,180.9,-999,0.4,-999,547.5,1.01,-999,420,-999,-999,30,24.7,1894.11,20.1,-999,-999,1,-999,-999,-999,"208;543;730;1297;1347;1544;1547;1768;1848;2151;2338;2344;2493;2655;2660;2986",-999,0.89,-999,-999,66626.48,9.83,5.91,7.87,81.88,79.69,80.78,68,335.39,74,0.07,141.67,258.11,1536.71,1630.08
"2254","Primates","Cercopithecidae","Macaca","sylvanus","Macaca sylvanus",3,11471.53,-999,549.99,-999,1746.52,-999,-999,6,-999,164.84,2,2.63,-999,431.71,1.02,-999,264,449.85,-999,12.5,18.3,1542.25,18.3,-999,2,2,210.25,2318.27,-999,"208;543;704;730;765;766;927;1297;1347;1544;1547;1611;1763;1767;1848;1976;1979;2344;2489;2493;2655;2660;2986",-999,1.01,-999,-999,95331.43,36.92,31.5,34.21,5.67,-6.93,-0.62,11,155.56,21,0.09,45.93,147.84,453.11,1163.53
"2255","Primates","Cercopithecidae","Macaca","thibetana","Macaca thibetana",3,10593.06,-999,599.99,-999,-999,-999,-999,-999,-999,169.02,-999,-999,-999,730,1.01,-999,-999,499.99,-999,-999,-999,-999,21,-999,-999,-999,451.79,2409.97,-999,"927;1297;1544;1547;1766;1767;1848;2344;2655",-999,0.77,-999,-999,1232955.48,33.04,23.72,28.38,121.07,97.51,109.29,3,256.6,5,0.06,119.8,129.61,961.24,1031.02
"2256","Primates","Cercopithecidae","Macaca","tonkeana","Macaca tonkeana",3,10035.53,-999,599.99,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1544;1547;1848;2151;2655",-999,-999,-999,-999,81338.19,1.35,-3.57,-1.1,123.45,118.75,121.1,17,51.44,17,0.1,222.91,204.36,1813.47,1916.92
"2257","Chiroptera","Megadermatidae","Macroderma","gigas","Macroderma gigas",1,124.37,107,115.82,-999,-999,139.12,148,2,-999,-999,1,-999,-999,-999,1,1,-999,21.61,78.3,-999,-999,-999,-999,-999,2,3,-999,-999,-999,"196;823;824;899;1297;1403;1658;1822;1948;2143;2144;2151;2655;2719;3023",-999,-999,-999,-999,1038951.62,-11.11,-24.09,-17.6,150.83,116.68,133.75,0,1.2,0,0.03,65.9,251.77,724.23,1686.49
"2258","Carnivora","Viverridae","Macrogalidia","musschenbroekii","Macrogalidia musschenbroekii",-999,5148.86,-999,687.94,-999,-999,-999,-999,6,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2,-999,-999,-999,"679;1113;2655",-999,-999,-999,-999,22966.97,0.95,-2.66,-0.85,124.57,119.98,122.28,17,37.15,17,0.1,226.87,197.06,1808.68,1890.62
"2259","Rodentia","Muridae","Meriones","dahli","Meriones dahli",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,4281.47,40.54,39.78,40.16,46.12,45.36,45.74,23,46.64,23,0.02,37.15,40.02,513.3,809.28
"2260","Rodentia","Muridae","Meriones","grandis","Meriones grandis",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"-999",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
