"","X","MSW05_Order","MSW05_Family","MSW05_Genus","MSW05_Species","MSW05_Binomial","X1.1_ActivityCycle","X5.1_AdultBodyMass_g","X8.1_AdultForearmLen_mm","X13.1_AdultHeadBodyLen_mm","X2.1_AgeatEyeOpening_d","X3.1_AgeatFirstBirth_d","X18.1_BasalMetRate_mLO2hr","X5.2_BasalMetRateMass_g","X6.1_DietBreadth","X7.1_DispersalAge_d","X9.1_GestationLen_d","X12.1_HabitatBreadth","X22.1_HomeRange_km2","X22.2_HomeRange_Indiv_km2","X14.1_InterbirthInterval_d","X15.1_LitterSize","X16.1_LittersPerYear","X17.1_MaxLongevity_m","X5.3_NeonateBodyMass_g","X13.2_NeonateHeadBodyLen_mm","X21.1_PopulationDensity_n.km2","X10.1_PopulationGrpSize","X23.1_SexualMaturityAge_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X12.2_Terrestriality","X6.2_TrophicLevel","X25.1_WeaningAge_d","X5.4_WeaningBodyMass_g","X13.3_WeaningHeadBodyLen_mm","References","X5.5_AdultBodyMass_g_EXT","X16.2_LittersPerYear_EXT","X5.6_NeonateBodyMass_g_EXT","X5.7_WeaningBodyMass_g_EXT","X26.1_GR_Area_km2","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.1_HuPopDen_Min_n.km2","X27.2_HuPopDen_Mean_n.km2","X27.3_HuPopDen_5p_n.km2","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm"
"Reithrodon_auritus","4111","Rodentia","Cricetidae","Reithrodon","auritus","Reithrodon auritus","   2","  79.73","-999"," 142.50","-999.00","-999.00","  76.81","  78.70","   2","-999.00","-999.00","   2","-9.990000e+02","-9.990000e+02","-999.00","   3.40","-999.00","  66.0","-999.00","-999.00","   61.11","-999.0","  68.97","-999.00","   8","   1","   1","-999.00","-999.00","-999.00","424;543;730;890;1297;1473;1822;2216;2655","-999.00","-999.00","-999","-999.00"," 1534977.74","-2.491000e+01"," -54.62"," -39.77"," -55.34"," -72.91"," -64.13","   0","  19.63","   0.0"," 9.000000e-02","  46.21"," 126.02"," 539.85"," 816.91"
"Reithrodontomys_creper","4116","Rodentia","Cricetidae","Reithrodontomys","creper","Reithrodontomys creper","   1","  22.80","-999","  89.73","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.00","   2","-9.990000e+02","-9.990000e+02","-999.00","   2.21","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","   1.00","-999","   2","-999","-999.00","-999.00","-999.00","905;1297;1379;2655","-999.00","-999.00","-999","-999.00","   21120.56"," 1.029000e+01","   8.35","   9.32"," -82.20"," -84.73"," -83.46","   9","  73.01","   9.0"," 1.000000e-01"," 230.99"," 250.92","1368.53","1805.33"
"Reithrodontomys_fulvescens","4118","Rodentia","Cricetidae","Reithrodontomys","fulvescens","Reithrodontomys fulvescens","   1","  11.55","-999","  66.99","  10.50","-999.00","-999.00","-999.00","   3","-999.00","-999.00","   2"," 1.343843e-03"," 1.713903e-03","-999.00","   3.76","-999.00","-999.0","   1.11","-999.00","  639.10","-999.0","-999.00","   1.50","   6","   2","   2","  14.44","   3.24","-999.00","533;730;905;1166;1206;1297;1595;1849;2655;2690;2926","-999.00","-999.00","-999","-999.00"," 2462274.78"," 3.762000e+01","  11.08","  24.35"," -85.64","-113.71"," -99.67","   0","  49.38","   1.0"," 9.000000e-02","  61.04"," 188.12"," 748.26","1287.47"
"Reithrodontomys_gracilis","4119","Rodentia","Cricetidae","Reithrodontomys","gracilis","Reithrodontomys gracilis","   1","  12.47","-999","  72.79","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.00","   2","-9.990000e+02","-9.990000e+02","-999.00","   3.11","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","   1.00","-999","   2","-999","-999.00","-999.00","-999.00","905;1297;2655;3119","-999.00","-999.00","-999","-999.00","  326863.25"," 2.160000e+01","   9.94","  15.77"," -84.31"," -93.93"," -89.12","   3","  65.97","   4.0"," 1.800000e-01"," 130.43"," 240.20","1266.68","1637.71"
"Reithrodontomys_megalotis","4122","Rodentia","Cricetidae","Reithrodontomys","megalotis","Reithrodontomys megalotis","   1","  10.72","-999","  69.62","  10.75","  62.00","  22.50","   9.00","-999","-999.00","  23.50","   2"," 1.008937e-03"," 1.115263e-03","  27.60","   4.18","   4.50","  18.0","   1.36","-999.00"," 1152.39","-999.0","  87.50","   1.00","   6","   2","-999","  20.00","-999.00","-999.00","384;730;905;925;926;956;957;1215;1297;1822;1849;2439;2655;2888;2978;2980","-999.00","-999.00","-999","-999.00"," 5125874.07"," 5.061000e+01","  15.95","  33.28"," -86.91","-124.56","-105.73","   0","  30.63","   0.0"," 7.000000e-02","  40.68"," 112.44"," 506.38"," 964.80"
"Rhabdomys_pumilio","4134","Rodentia","Muridae","Rhabdomys","pumilio","Rhabdomys pumilio","   3","  40.73","-999"," 108.81","-999.00","  90.62","  32.09","  39.62","   3","-999.00","  25.44","-999","-9.990000e+02","-9.990000e+02","  29.07","   5.28","   7.00","  34.8","   2.50","  39.68"," 1827.85","-999.0","  61.87","-999.00","-999","-999","   2","  14.00","   8.43","-999.00","456;543;730;1244;1297;1399;1584;1822;2121;2258;2390;2442;2655;2815;2978;3054","-999.00","-999.00","-999","-999.00","    -999.00","-9.990000e+02","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.0","-9.990000e+02","-999.00","-999.00","-999.00","-999.00"
"Rheomys_thomasi","4141","Rodentia","Cricetidae","Rheomys","thomasi","Rheomys thomasi","-999","  40.00","-999","-999.00","-999.00","-999.00","-999.00","-999.00","   2","-999.00","-999.00","   2","-9.990000e+02","-9.990000e+02","-999.00","   0.97","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","-999","   1","   3","-999.00","-999.00","-999.00","905;1297;2151;2655","-999.00","-999.00","-999","-999.00","   25340.02"," 1.745000e+01","  13.55","  15.50"," -88.15"," -93.25"," -90.70","  24"," 167.72","  34.5"," 1.000000e-01"," 125.05"," 214.85","1271.90","1685.41"
"Scapteromys_tumidus","4327","Rodentia","Cricetidae","Scapteromys","tumidus","Scapteromys tumidus","   2"," 146.00","-999","-999.00","-999.00","-999.00","-999.00","-999.00","   1","-999.00","-999.00","   2","-9.990000e+02","-9.990000e+02","-999.00","   3.63","-999.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","-999","   1","   3","-999.00","-999.00","-999.00","890;1297;2655","-999.00","-999.00","-999","-999.00","  333590.16","-2.919000e+01"," -35.22"," -32.20"," -51.18"," -59.88"," -55.53","   3","  67.95","   6.0"," 4.000000e-02"," 103.67"," 171.16"," 984.50","1114.18"
"Scotinomys_teguina","4365","Rodentia","Cricetidae","Scotinomys","teguina","Scotinomys teguina","-999","  11.59","-999","-999.00","  13.30","-999.00","  31.20","  12.00","   2","-999.00","  31.20","   1","-9.990000e+02","-9.990000e+02","  30.95","   2.46","-999.00","-999.0","   1.11","-999.00"," -999.00","-999.0","  38.97","-999.00","-999","   1","   2","  21.00","-999.00","-999.00","1297;1376;1822;2151;2655","-999.00","   3.83","-999","-999.00","  175099.23"," 1.710000e+01","   8.36","  12.73"," -82.21"," -95.13"," -88.67","   6","  76.53","  12.0"," 1.200000e-01"," 158.13"," 222.84","1285.98","1651.02"
"Sicista_tianshanica","4416","Rodentia","Dipodidae","Sicista","tianshanica","Sicista tianshanica","-999","-999.00","-999","-999.00","-999.00","-999.00","-999.00","-999.00","-999","-999.00","-999.00","-999","-9.990000e+02","-9.990000e+02","-999.00","   4.37","   1.00","-999.0","-999.00","-999.00"," -999.00","-999.0","-999.00","-999.00","-999","-999","-999","-999.00","-999.00","-999.00","1297","-999.00","-999.00","-999","-999.00","  317896.41"," 4.760000e+01","  41.66","  44.63","  87.84","  74.66","  81.25","   2","  21.74","   2.0"," 5.000000e-02","  21.29","  -2.01"," 276.72"," 663.88"
